,POSTCODE,COORDS,PERUS
76295,980,POINT (25506892.16788306 6676511.934230975),704
76296,980,POINT (25506924.10209964 6676514.902432446),704
76297,980,POINT (25506886.62706461 6676529.783785716),704
76298,980,POINT (25506909.37848948 6676505.448830647),704
76299,980,POINT (25506838.15099301 6676478.274474109),704
76300,980,POINT (25506811.06478805 6676513.487143852),704
76301,980,POINT (25506845.11947116 6676512.514476095),704
76302,980,POINT (25506868.5960168 6676530.240150007),704
76303,980,POINT (25507042.71461106 6676662.60997967),704
76304,980,POINT (25507042.71461106 6676662.60997967),704
76305,980,POINT (25507094.85559928 6676560.107647851),704
76306,980,POINT (25507019.23651092 6676611.85947895),704
76307,980,POINT (25507048.98946512 6676554.715666326),704
76308,980,POINT (25507074.04314922 6676619.518954335),704
76309,980,POINT (25507007.54011679 6676733.592478936),704
76310,980,POINT (25507007.54011679 6676733.592478936),704
76311,980,POINT (25507007.54011679 6676733.592478936),704
76312,980,POINT (25507038.08006324 6676716.504130772),704
76313,980,POINT (25507038.08006324 6676716.504130772),704
76314,980,POINT (25506999.99591396 6676685.323777545),704
76315,980,POINT (25506999.99591396 6676685.323777545),704
76316,980,POINT (25506960.27781053 6676708.144050164),704
76317,980,POINT (25507004.63017258 6676796.548099207),704
76318,980,POINT (25507004.63017258 6676796.548099207),704
76319,980,POINT (25506964.00398571 6676816.336079113),704
76320,980,POINT (25506963.54651656 6676765.284392108),704
76321,980,POINT (25507010.63244314 6676763.703004244),704
76322,980,POINT (25506698.50908036 6676363.959876528),704
76323,980,POINT (25506742.10428665 6676378.30111886),704
76324,980,POINT (25506764.22344858 6676407.989689993),704
76325,650,POINT (25498382.02893363 6679221.145332142),404
76326,740,POINT (25500493.18948543 6685206.341779575),504
76327,740,POINT (25500493.18948543 6685206.341779575),504
76328,740,POINT (25500489.64051033 6685224.246017878),504
76329,920,POINT (25503078.82086345 6678314.754984086),702
76330,180,POINT (25495247.36577917 6671508.830981437),103
76331,180,POINT (25495247.36577917 6671508.830981437),103
76332,430,POINT (25494427.23327389 6683513.335021842),205
76333,430,POINT (25494417.53601407 6683503.03262165),205
76334,430,POINT (25494434.65191059 6683499.541435534),205
76335,430,POINT (25494422.23390176 6683480.151547797),205
76336,430,POINT (25494357.18815165 6683381.112672805),205
76337,710,POINT (25500222.20339798 6680512.798972718),501
76338,720,POINT (25498841.16004849 6680944.268549374),502
76339,210,POINT (25493496.29316658 6670942.442404061),105
76340,210,POINT (25493545.01347423 6670952.918521019),105
76341,980,POINT (25506705.5978716 6676427.223675254),704
76342,980,POINT (25506709.71976197 6676390.319126035),704
76343,980,POINT (25506855.5974252 6676727.99029669),704
76344,980,POINT (25506884.74361047 6676690.843183387),704
76345,980,POINT (25506829.63617533 6676693.179991896),704
76346,980,POINT (25506813.48907637 6676730.708239689),704
76347,980,POINT (25506786.91382372 6676682.872567626),704
76348,980,POINT (25506786.91382372 6676682.872567626),704
76349,980,POINT (25506756.98289458 6676679.964962787),704
76350,980,POINT (25506756.98289458 6676679.964962787),704
76351,980,POINT (25506727.80804553 6676685.080942293),704
76352,980,POINT (25506727.80804553 6676685.080942293),704
76353,980,POINT (25506702.35443295 6676699.328932355),704
76354,980,POINT (25506702.35443295 6676699.328932355),704
76355,980,POINT (25506719.38130374 6676731.860181003),704
76356,980,POINT (25506719.38130374 6676731.860181003),704
76357,980,POINT (25506748.46705868 6676729.741060803),704
76358,980,POINT (25506748.46705868 6676729.741060803),704
76359,980,POINT (25506775.52690557 6676728.565458056),704
76360,980,POINT (25506775.52690557 6676728.565458056),704
76361,980,POINT (25506790.03757614 6676711.991355879),704
76362,980,POINT (25506790.03757614 6676711.991355879),704
76363,980,POINT (25506749.22852092 6676704.751858835),704
76364,980,POINT (25506749.22852092 6676704.751858835),704
76365,980,POINT (25506693.60229939 6676724.080694835),704
76366,980,POINT (25506693.60229939 6676724.080694835),704
76367,980,POINT (25506865.60047212 6676761.311281124),704
76368,980,POINT (25506865.60047212 6676761.311281124),704
76369,980,POINT (25506890.04942374 6676780.063953536),704
76370,980,POINT (25506890.04942374 6676780.063953536),704
76371,980,POINT (25506899.13713344 6676810.363936841),704
76372,980,POINT (25506899.13713344 6676810.363936841),704
76373,980,POINT (25506866.02415366 6676813.36563292),704
76374,980,POINT (25506866.02415366 6676813.36563292),704
76375,980,POINT (25506851.75112727 6676788.916507094),704
76376,980,POINT (25506851.75112727 6676788.916507094),704
76377,980,POINT (25506887.8950735 6676751.983067426),704
76378,980,POINT (25506887.8950735 6676751.983067426),704
76379,980,POINT (25506917.74201037 6676757.888676197),704
76380,980,POINT (25506917.74201037 6676757.888676197),704
76381,980,POINT (25506919.2829928 6676772.943890239),704
76382,980,POINT (25506919.2829928 6676772.943890239),704
76383,980,POINT (25506918.86278682 6676786.948088317),704
76384,980,POINT (25506918.86278682 6676786.948088317),704
